results.Hugo_Symbol	results.sarek	results.tcga	results.pval	results.or	results.ci.up	results.ci.low	results.adjPval	SampleSummary.Cohort	SampleSummary.SampleSize
1	MUC6	2	48	3.80726415858721e-25	0	0.0076171875	0	7.80489152510378e-22	sarek	48
2	MUC12	2	45	6.207135048311e-21	0.00347840931266703	0.0216141364688066	0.000265829889104362	6.36231342451877e-18	tcga	48
3	MUC4	3	45	9.33716165978206e-20	0.00520474716296525	0.0274547013441276	0.000628419540637049	6.38039380085107e-17	sarek	48
4	HRNR	1	41	2.31980511435744e-18	0.00407575099117986	0.0307120215938273	9.61650794815604e-05	1.18890012110819e-15	tcga	48
5	LILRA1	0	37	8.69833269465363e-17	0	0.03046875	0	3.56631640480799e-14	sarek	48
6	ANKRD36C	1	37	2.705328897405e-15	0.00683244937681684	0.0487254823656643	0.000159999737790583	9.24320706613375e-13	tcga	48
7	ANKRD36	0	33	3.79581856744386e-14	0	0.0446109870466811	0	1.10235731130631e-11	sarek	48
8	HLA-DRB1	2	37	4.30188219046365e-14	0.0138788939421517	0.0661663661227571	0.00143008363417178	1.10235731130631e-11	tcga	48
9	TUBB8B	0	32	1.51832742697754e-13	0	0.0487341315086603	0	3.11257122530396e-11	sarek	48
10	ZNF717	0	32	1.51832742697754e-13	0	0.0487341315086603	0	3.11257122530396e-11	tcga	48
11	TAS2R31	2	36	1.97553878432352e-13	0.0154210011383705	0.073129662644899	0.00159647714078974	3.37487875655268e-11	sarek	48
12	TAS2R46	2	36	1.97553878432352e-13	0.0154210011383705	0.073129662644899	0.00159647714078974	3.37487875655268e-11	tcga	48
13	LILRB2	1	33	9.92335425488886e-13	0.0102462366329262	0.0712313761857288	0.00023940638413592	1.5648366325017e-10	sarek	48
14	OR2L3	0	30	2.12863551037048e-12	0	0.0578118286356031	0	2.90913519750632e-10	tcga	48
15	SLC9B1	0	30	2.12863551037048e-12	0	0.0578118286356031	0	2.90913519750632e-10	sarek	48
16	NPIPB15	0	29	7.50624101025374e-12	0	0.0628912712070716	0	9.6173712943876e-10	tcga	48
17	PABPC1	0	28	2.55212194348626e-11	0	0.0683032546591924	0	3.07755881420401e-09	sarek	48
18	LILRB1	3	34	3.296524234233e-11	0.0288732747703233	0.111623538867136	0.00493373819539748	3.75437482232092e-09	tcga	48
19	FAM90A23P	0	27	8.38554352859778e-11	0	0.0741645969876647	0	7.8138019243752e-09	sarek	48
20	GOLGA6L10	0	27	8.38554352859778e-11	0	0.0741645969876647	0	7.8138019243752e-09	tcga	48
21	HLA-DQA2	0	27	8.38554352859778e-11	0	0.0741645969876647	0	7.8138019243752e-09	sarek	48
22	TAS2R30	0	27	8.38554352859778e-11	0	0.0741645969876647	0	7.8138019243752e-09	tcga	48
23	RGPD3	4	34	2.41165256253306e-10	0.0391581073872633	0.135491778069731	0.00856016695980536	2.14951641443164e-08	sarek	48
24	HLA-DQB2	0	26	2.668127486372e-10	0	0.0805062280355956	0	2.27902556127608e-08	tcga	48
25	PABPC3	2	30	5.69089959419394e-10	0.0272374160518767	0.125095628833762	0.00287004635961772	4.66653766723903e-08	sarek	48
26	FLG	0	25	8.2363935448875e-10	0	0.0873705880917618	0	6.25355806185903e-08	tcga	48
27	LILRA6	0	25	8.2363935448875e-10	0	0.0873705880917618	0	6.25355806185903e-08	sarek	48
28	KMT2C	5	34	1.44154602611246e-09	0.049924605448774	0.160147703392248	0.012706241985918	1.0554176262609e-07	tcga	48
29	HLA-DRB5	1	27	1.65887926326607e-09	0.0172523730088063	0.118297156664513	0.000401790777341124	1.13356749656515e-07	sarek	48
30	KRTAP4-11	1	27	1.65887926326607e-09	0.0172523730088063	0.118297156664513	0.000401790777341124	1.13356749656515e-07	tcga	48
31	LILRA2	1	26	5.023702895769e-09	0.018733464829643	0.128420609554754	0.000435932548988381	3.32212610849241e-07	sarek	48
32	DLX6	0	23	7.21508074532153e-09	0	0.103051088789689	0	3.99754473727274e-07	tcga	48
33	HLA-B	0	23	7.21508074532153e-09	0	0.103051088789689	0	3.99754473727274e-07	sarek	48
34	LILRB3	0	23	7.21508074532153e-09	0	0.103051088789689	0	3.99754473727274e-07	tcga	48
35	OR11H12	0	23	7.21508074532153e-09	0	0.103051088789689	0	3.99754473727274e-07	sarek	48
36	OR1L4	0	23	7.21508074532153e-09	0	0.103051088789689	0	3.99754473727274e-07	tcga	48
37	TAS2R19	0	23	7.21508074532153e-09	0	0.103051088789689	0	3.99754473727274e-07	sarek	48
38	ALPP	1	25	1.47443045007776e-08	0.0203327675908576	0.139411818984357	0.000472714727205701	7.95416427015635e-07	tcga	48
39	MUC5AC	0	22	2.05352298136071e-08	0	0.11201939296998	0	1.02676149068036e-06	sarek	48
40	NBPF1	0	22	2.05352298136071e-08	0	0.11201939296998	0	1.02676149068036e-06	tcga	48
41	NBPF12	0	22	2.05352298136071e-08	0	0.11201939296998	0	1.02676149068036e-06	sarek	48
42	FCGBP	1	24	4.20056070789263e-08	0.0220650498708674	0.151388375833913	0.000512453036104332	2.00259289562323e-06	tcga	48
43	PRDM10	1	24	4.20056070789263e-08	0.0220650498708674	0.151388375833913	0.000512453036104332	2.00259289562323e-06	sarek	48
44	ADAMTS7	0	21	5.70423050377978e-08	0	0.12194257481004	0	2.54210272451055e-06	tcga	48
45	METTL2B	0	21	5.70423050377978e-08	0	0.12194257481004	0	2.54210272451055e-06	sarek	48
46	MUC3A	0	21	5.70423050377978e-08	0	0.12194257481004	0	2.54210272451055e-06	tcga	48
47	AHNAK2	6	32	7.34894001503667e-08	0.0738786897726841	0.22171835936673	0.0210843286346252	3.2053887299628e-06	sarek	48
48	CHD4	1	23	1.1633082242799e-07	0.0239476428865698	0.164506709140345	0.000555515991360027	4.67604286230156e-06	tcga	48
49	KIR2DL1	1	23	1.1633082242799e-07	0.0239476428865698	0.164506709140345	0.000555515991360027	4.67604286230156e-06	sarek	48
50	RSPH6A	1	23	1.1633082242799e-07	0.0239476428865698	0.164506709140345	0.000555515991360027	4.67604286230156e-06	tcga	48
51	TMCC1	1	23	1.1633082242799e-07	0.0239476428865698	0.164506709140345	0.000555515991360027	4.67604286230156e-06	sarek	48
52	LRCOL1	0	20	1.54829113674023e-07	0	0.132927530750121	0	5.87777190799533e-06	tcga	48
53	NBPF9	0	20	1.54829113674023e-07	0	0.132927530750121	0	5.87777190799533e-06	sarek	48
54	TRBV6-8	0	20	1.54829113674023e-07	0	0.132927530750121	0	5.87777190799533e-06	tcga	48
55	KIR3DL2	1	22	3.13578509315893e-07	0.0260010224737934	0.178904883457086	0.000602336365406913	1.14792132874568e-05	sarek	48
56	OR8U1	1	22	3.13578509315893e-07	0.0260010224737934	0.178904883457086	0.000602336365406913	1.14792132874568e-05	tcga	48
57	DHX37	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	sarek	48
